date,proportion,proportionCILow,proportionCIHigh
"2020-12-23","0.0208","0.0083","0.0515"
"2020-12-24","0.0224","0.0094","0.0527"
"2020-12-25","0.0213","0.0093","0.0478"
"2020-12-26","0.0228","0.0106","0.0485"
"2020-12-27","0.0303","0.0155","0.0582"
"2020-12-28","0.0326","0.0169","0.0620"
"2020-12-29","0.0331","0.0173","0.0627"
"2020-12-30","0.0317","0.0162","0.0610"
"2020-12-31","0.0381","0.0206","0.0692"
"2021-01-01","0.0467","0.0267","0.0806"
"2021-01-02","0.0594","0.0362","0.0962"
"2021-01-03","0.0636","0.0385","0.1031"
"2021-01-04","0.0684","0.0423","0.1086"
"2021-01-05","0.0751","0.0485","0.1147"
"2021-01-06","0.0924","0.0626","0.1344"
"2021-01-07","0.0984","0.0675","0.1414"
"2021-01-08","0.1069","0.0746","0.1510"
"2021-01-09","0.1035","0.0714","0.1478"
"2021-01-10","0.1010","0.0702","0.1434"
"2021-01-11","0.0995","0.0691","0.1413"
"2021-01-12","0.1078","0.0757","0.1512"
"2021-01-13","0.0957","0.0655","0.1378"
"2021-01-14","0.0961","0.0654","0.1389"
"2021-01-15","0.0952","0.0647","0.1379"
"2021-01-16","0.1119","0.0787","0.1565"
"2021-01-17","0.1223","0.0880","0.1674"
"2021-01-18","0.1276","0.0930","0.1728"
"2021-01-19","0.1245","0.0903","0.1692"
"2021-01-20","0.1373","0.1008","0.1843"
"2021-01-21","0.1467","0.1091","0.1946"
"2021-01-22","0.1690","0.1281","0.2197"
"2021-01-23","0.1840","0.1413","0.2361"
"2021-01-24","0.2122","0.1661","0.2670"
"2021-01-25","0.2448","0.1945","0.3031"
"2021-01-26","0.2926","0.2377","0.3542"
"2021-01-27","0.3136","0.2579","0.3753"
"2021-01-28","0.3262","0.2695","0.3886"
"2021-01-29","0.3652","0.3047","0.4303"
"2021-01-30","0.3793","0.3174","0.4453"
"2021-01-31","0.4045","0.3392","0.4734"
"2021-02-01","0.4147","0.3493","0.4832"
"2021-02-02","0.4391","0.3738","0.5065"
"2021-02-03","0.4515","0.3850","0.5197"
"2021-02-04","0.4586","0.3918","0.5269"
"2021-02-05","0.4843","0.4144","0.5548"
"2021-02-06","0.5099","0.4376","0.5818"
"2021-02-07","0.5266","0.4516","0.6004"
"2021-02-08","0.5462","0.4691","0.6211"
"2021-02-09","0.5524","0.4694","0.6325"
"2021-02-10","0.5615","0.4782","0.6415"
"2021-02-11","0.5737","0.4890","0.6543"
"2021-02-12","0.5779","0.4917","0.6596"
"2021-02-13","0.5849","0.4991","0.6658"
"2021-02-14","0.5744","0.4922","0.6528"
"2021-02-15","0.5646","0.4803","0.6454"
"2021-02-16","0.5674","0.4833","0.6477"
"2021-02-17","0.5803","0.4931","0.6628"
"2021-02-18","0.6120","0.5258","0.6917"
"2021-02-19","0.6369","0.5534","0.7129"
"2021-02-20","0.6697","0.5880","0.7424"
"2021-02-21","0.6913","0.6091","0.7630"
"2021-02-22","0.7101","0.6309","0.7783"
"2021-02-23","0.7255","0.6458","0.7930"
"2021-02-24","0.7262","0.6468","0.7934"
"2021-02-25","0.7251","0.6434","0.7941"
"2021-02-26","0.7350","0.6526","0.8037"
"2021-02-27","0.7371","0.6535","0.8065"
"2021-02-28","0.7701","0.6906","0.8341"
"2021-03-01","0.7963","0.7189","0.8566"
"2021-03-02","0.8079","0.7342","0.8648"
"2021-03-03","0.8144","0.7428","0.8695"
