	geoRegion	ageRange	sex	pop
0	AG	0 - 9	male	37964
1	AG	0 - 9	female	35471
2	AG	10 - 19	male	35906
3	AG	10 - 19	female	33620
4	AG	20 - 29	male	41074
5	AG	20 - 29	female	38704
6	AG	30 - 39	male	51241
7	AG	30 - 39	female	49159
8	AG	40 - 49	male	49366
9	AG	40 - 49	female	47459
10	AG	50 - 59	male	54645
11	AG	50 - 59	female	52887
12	AG	60 - 69	male	41499
13	AG	60 - 69	female	42187
14	AG	70 - 79	male	28125
15	AG	70 - 79	female	30301
16	AG	80+	male	13613
17	AG	80+	female	19865
18	AI	0 - 9	male	882
19	AI	0 - 9	female	869
20	AI	10 - 19	male	864
21	AI	10 - 19	female	802
22	AI	20 - 29	male	1075
23	AI	20 - 29	female	935
24	AI	30 - 39	male	1101
25	AI	30 - 39	female	983
26	AI	40 - 49	male	997
27	AI	40 - 49	female	933
28	AI	50 - 59	male	1250
29	AI	50 - 59	female	1234
30	AI	60 - 69	male	1080
31	AI	60 - 69	female	945
32	AI	70 - 79	male	740
33	AI	70 - 79	female	693
34	AI	80+	male	400
35	AI	80+	female	577
36	AR	0 - 9	male	3073
37	AR	0 - 9	female	2929
38	AR	10 - 19	male	2745
39	AR	10 - 19	female	2566
40	AR	20 - 29	male	3192
41	AR	20 - 29	female	2687
42	AR	30 - 39	male	3651
43	AR	30 - 39	female	3530
44	AR	40 - 49	male	3609
45	AR	40 - 49	female	3483
46	AR	50 - 59	male	4310
47	AR	50 - 59	female	4306
48	AR	60 - 69	male	3715
49	AR	60 - 69	female	3657
50	AR	70 - 79	male	2504
51	AR	70 - 79	female	2546
52	AR	80+	male	1194
53	AR	80+	female	1888
54	BE	0 - 9	male	52391
55	BE	0 - 9	female	49515
56	BE	10 - 19	male	50088
57	BE	10 - 19	female	47750
58	BE	20 - 29	male	58500
59	BE	20 - 29	female	56907
60	BE	30 - 39	male	71616
61	BE	30 - 39	female	71749
62	BE	40 - 49	male	68711
63	BE	40 - 49	female	68687
64	BE	50 - 59	male	77590
65	BE	50 - 59	female	77875
66	BE	60 - 69	male	63213
67	BE	60 - 69	female	66347
68	BE	70 - 79	male	48175
69	BE	70 - 79	female	54709
70	BE	80+	male	24325
71	BE	80+	female	39325
72	BL	0 - 9	male	14379
73	BL	0 - 9	female	13504
74	BL	10 - 19	male	14606
75	BL	10 - 19	female	13778
76	BL	20 - 29	male	15403
77	BL	20 - 29	female	14602
78	BL	30 - 39	male	17810
79	BL	30 - 39	female	18099
80	BL	40 - 49	male	19151
81	BL	40 - 49	female	19635
82	BL	50 - 59	male	22574
83	BL	50 - 59	female	23127
84	BL	60 - 69	male	17893
85	BL	60 - 69	female	18543
86	BL	70 - 79	male	13652
87	BL	70 - 79	female	15886
88	BL	80+	male	8170
89	BL	80+	female	12005
90	BS	0 - 9	male	9527
91	BS	0 - 9	female	8983
92	BS	10 - 19	male	8123
93	BS	10 - 19	female	7704
94	BS	20 - 29	male	11448
95	BS	20 - 29	female	11676
96	BS	30 - 39	male	16647
97	BS	30 - 39	female	16808
98	BS	40 - 49	male	14052
99	BS	40 - 49	female	13575
100	BS	50 - 59	male	13464
101	BS	50 - 59	female	13383
102	BS	60 - 69	male	10387
103	BS	60 - 69	female	11029
104	BS	70 - 79	male	7192
105	BS	70 - 79	female	8909
106	BS	80+	male	4566
107	BS	80+	female	8563
108	FR	0 - 9	male	18711
109	FR	0 - 9	female	17421
110	FR	10 - 19	male	18446
111	FR	10 - 19	female	17714
112	FR	20 - 29	male	21962
113	FR	20 - 29	female	20945
114	FR	30 - 39	male	23578
115	FR	30 - 39	female	22969
116	FR	40 - 49	male	22789
117	FR	40 - 49	female	22620
118	FR	50 - 59	male	24579
119	FR	50 - 59	female	24246
120	FR	60 - 69	male	17611
121	FR	60 - 69	female	17618
122	FR	70 - 79	male	12013
123	FR	70 - 79	female	13056
124	FR	80+	male	5369
125	FR	80+	female	8162
126	GE	0 - 9	male	27443
127	GE	0 - 9	female	26031
128	GE	10 - 19	male	27492
129	GE	10 - 19	female	26412
130	GE	20 - 29	male	32072
131	GE	20 - 29	female	32067
132	GE	30 - 39	male	37538
133	GE	30 - 39	female	38745
134	GE	40 - 49	male	37654
135	GE	40 - 49	female	39380
136	GE	50 - 59	male	35394
137	GE	50 - 59	female	37084
