screening_week	positive_active	presymp_active	symptoms_active	nosymp_pop	nosymp_infections	asymp_active	positive_active_nopre	ur
1	3308.2111278806515	513.7030736858048	1806.4669187956263	525492.5330812044	14451.044659733121	13937.341586047316	2794.5080541948464	1x
2	2517.3365750507032	413.1834655100922	1385.5514707924794	525913.4485292075	14462.619834553207	14049.436369043115	2104.153109540611	1x
3	1525.9220536584105	292.6854428663027	839.7530078801008	526459.2469921199	14477.629292283298	14184.943849416995	1233.2366107921077	1x
1	7608.885594125498	1181.517069477351	4154.87391322994	523144.12608677003	14386.463467386176	13204.946397908825	6427.368524648147	2.3x
2	5789.874122616617	950.321970673212	3186.7683828227023	524112.2316171773	14413.086369472376	13462.764398799163	4839.552151943404	2.3x
3	3509.620723414344	673.1765185924962	1931.4319181242315	525367.5680818758	14447.608122251584	13774.431603659088	2836.444204821848	2.3x
1	8932.17004527776	1386.9982989516732	4877.460680748191	522421.5393192518	14366.592331279424	12979.59403232775	7545.1717463260875	2.7x
2	6796.808752636899	1115.595356877249	3740.988971139695	523558.0110288603	14397.845303293658	13282.249946416408	5681.21339575965	2.7x
3	4119.989544877709	790.2506957390174	2267.3331212762723	525031.6668787238	14438.370839164903	13648.120143425886	3329.7388491386914	2.7x
1	10255.45449643002	1592.479528425995	5600.047448266441	521698.9525517336	14346.721195172673	12754.241666746679	8662.974968004026	3.1x
2	7803.7433826571805	1280.8687430812859	4295.209559456686	523003.7904405433	14382.604237114941	13101.735494033655	6522.874639575894	3.1x
3	4730.358366341073	907.3248728855384	2603.2343244283124	524695.7656755716	14429.133556078219	13521.808683192681	3823.0334934555344	3.1x
